post_id,tokenization
10162593881264988,"[['The', 'federal', 'government', 'will', 'fund', 'construction', 'of', 'a', 'purpose-built', 'quarantine', 'hub', 'in', 'Victoria', ',', 'but', 'a', 'site', 'for', 'the', 'facility', 'has', 'not', 'yet', 'been', 'chosen', '.'], ['ABC.NET.AU', 'New', 'quarantine', 'hub', 'to', 'be', 'built', 'in', 'Victoria', ',', 'site', 'yet', 'to', 'be', 'confirmed', 'The', 'Victorian', 'government', 'and', 'the', 'Commonwealth', 'have', 'reached', 'a', 'deal', 'for', 'a', 'purpose-built', 'quarantine', 'facility', 'at', 'either', 'Mickleham', 'or', 'Avalon', '.']]"
10162593851479988,"[['Vaccination', 'hubs', 'will', 'be', 'available', 'to', 'participants', 'in', 'the', 'National', 'Disability', 'Insurance', 'Scheme', 'as', 'well', 'as', 'their', 'primary', 'carers', '.'], ['ABC.NET.AU', 'Dedicated', 'hubs', 'to', 'vaccinate', 'NDIS', 'users', 'against', 'COVID', 'People', 'with', 'disability', 'will', 'have', 'access', 'to', 'dedicated', 'COVID-19', 'vaccine', 'hubs', ',', 'as', 'the', 'federal', 'government', 'moves', 'to', 'accelerate', 'the', 'rollout', 'across', 'the', 'sector', '.']]"
10162593822024988,"[['One', 'in', 'five', 'doctors', 'in', 'Australia', 'have', 'reported', 'being', 'diagnosed', 'with', ',', 'or', 'treated', 'for', 'depression', ',', 'according', 'to', 'the', '2019', 'National', 'Mental', 'Health', 'Survey', 'of', 'Doctors', 'and', 'Medical', 'Students', '.'], ['ABC.NET.AU', 'Why', 'are', 'doctors', 'across', 'the', 'country', 'wearing', 'mismatched', 'socks', '?'], ['``', 'Ronelle', 'Andrew', 'says', 'shes', 'struggled', 'with', 'anxiety', 'several', 'times', 'during', 'her', 'medical', 'career', '.', ""''""], ['Today', 'she', 'is', 'joining', 'doctors', 'across', 'Australia', 'who', 'are', 'donning', 'bright', ',', 'fun', 'socks', 'to', 'raise', 'awareness', 'of', 'the', 'mental', 'health', 'challenges', 'for', 'medical', 'professionals', '.']]"
10162593797419988,"[['``', 'My', 'mother', 'was', 'never', 'allowed', 'to', 'speak', 'in', 'the', 'presence', 'of', 'males', '.', ""''""], ['``', 'ABC.NET.AU', 'Its', 'an', 'escape', ':', 'How', 'art', 'can', 'provide', 'solace', 'for', 'those', 'suffering', 'with', 'mental', 'health', 'issues', 'A', 'new', 'program', 'aims', 'to', 'highlight', 'the', 'mental', 'health', 'challenges', 'faced', 'by', 'artists', ',', 'and', 'how', 'art', 'is', 'used', 'as', 'a', 'coping', 'mechanism', '.', ""''""]]"
10162593770164988,"[['``', 'Chinas', 'leader', 'Xi', 'Jinping', 'may', 'be', 'seeking', 'to', 'rein', 'in', 'the', 'more', 'unruly', 'elements', 'of', 'Chinas', 'Wolf', 'Warrior-style', 'of', 'diplomacy', ',', 'writes', 'Bill', 'Birtles', '.', ""''""], ['``', 'ABC.NET.AU', 'ANALYSIS', ':', 'How', 'Xi', 'Jinping', 'wants', 'to', 'change', 'the', 'way', 'China', 'is', 'seen', 'by', 'the', 'world', 'After', 'several', 'years', 'of', 'a', 'noticeably', 'more', 'assertive', 'shift', 'in', 'China', '’', 's', 'diplomatic', 'and', 'media', 'tone', ',', 'Xi', 'Jinping', 'has', 'dropped', 'the', 'first', 'hint', 'that', 'the', 'countrys', 'confrontational', 'style', 'needs', 'adjustment', ',', 'writes', 'Bill', 'Birtles', '.', ""''""]]"
10162593734574988,"[['``', 'Victoria', 'has', 'recorded', 'four', 'new', 'locally', 'acquired', 'COVID-19', 'cases', ',', 'taking', 'the', 'states', 'outbreak', 'to', '65', '.', ""''""], ['``', 'ABC.NET.AU', 'No', 'early', 'end', 'to', 'Melbournes', 'lockdown', 'planned', 'as', 'Victoria', 'records', 'four', 'new', 'local', 'COVID', 'cases', 'Acting', 'Premier', 'James', 'Merlino', 'hosed', 'down', 'any', 'expectations', 'of', 'the', 'lockdown', 'lifting', 'early', 'in', 'light', 'of', 'the', 'false', 'positives', 'revealed', 'last', 'night', '.', ""''""]]"
4611260688893544,"[['Authorities', 'are', 'racing', 'to', 'determine', 'how', 'a', 'Victorian', 'family', 'contracted', 'the', 'Delta', 'variant', 'of', 'the', 'virus', ',', 'which', 'was', 'first', 'detected', 'in', 'India', 'and', 'is', 'different', 'to', 'the', 'Kappa', 'variant', 'that', 'sparked', 'the', 'state', '’', 's', 'latest', 'outbreak', '.'], ['SBS.COM.AU', 'Victoria', 'records', 'five', 'new', 'local', 'cases', 'of', 'coronavirus', 'amid', 'scramble', 'to', 'find', 'source', 'of', 'Delta', 'variant', 'Authorities', 'are', 'racing', 'to', 'determine', 'how', 'a', 'Victorian', 'family', 'contracted', 'the', 'Delta', 'variant', 'of', 'the', 'virus', ',', 'which', 'was', 'first', 'detected', 'in', 'India', 'and', 'is', 'different', 'to', 'the', 'Kappa', 'strain', 'that', 'sparked', 'the', 'state', '’', 's', 'latest', 'outbreak', '.']]"
4611044175581862,"[['The', 'Beautiful', 'Bunch', 'gives', 'training', 'and', 'job', 'opportunities', 'to', 'women', 'from', 'migrant', 'and', 'refugee', 'backgrounds', '.'], ['``', 'Working', 'with', 'us', 'is', 'a', 'life-changing', 'opportunity', 'for', 'many', 'young', 'women', '.', ""''""], ['SBS.COM.AU', 'Staff', 'at', 'this', 'unique', 'Melbourne', 'flower', 'shop', 'are', 'grateful', 'it', 'can', 'remain', 'open', 'during', 'lockdown', 'Social', 'enterprise', 'The', 'Beautiful', 'Bunch', 'employs', 'women', 'from', 'migrant', 'and', 'refugee', 'backgrounds', '.'], ['``', 'At', 'a', 'time', 'when', 'many', 'are', 'struggling', 'to', 'find', 'work', ',', 'the', 'women', 'remain', 'employed', 'and', 'able', 'to', 'deliver', 'flowers', 'to', 'peoples', 'loved', 'ones', '.', ""''""]]"
4610963798923233,"[['Facebook', 'also', 'said', 'it', 'will', 'no', 'longer', 'give', 'politicians', 'blanket', 'immunity', 'for', 'deceptive', 'or', 'abusive', 'content', 'at', 'the', 'social', 'network', 'based', 'on', 'their', 'comments', 'being', 'newsworthy', '.'], ['``', 'SBS.COM.AU', 'Citing', 'public', 'safety', 'risk', ',', 'Facebook', 'says', 'Donald', 'Trump', 'will', 'be', 'suspended', 'from', 'its', 'platform', 'for', 'at', 'least', 'two', 'years', 'Facebook', 'has', 'suspended', 'former', 'US', 'president', 'Donald', 'Trump', 'until', 'at', 'least', 'January', '2023', 'and', 'announced', 'changes', 'to', 'how', 'it', 'will', 'treat', 'world', 'leaders', 'who', 'break', 'the', 'companys', 'rules', 'on', 'postings', 'on', 'its', 'site', '.', ""''""]]"
4609356892417257,"[['``', 'Tens', 'of', 'thousands', 'usually', 'gather', 'at', 'Victoria', 'Park', 'to', 'commemorate', 'Chinas', 'crackdown', 'on', 'pro-democracy', 'protests', 'in', 'Tiananmen', 'Square', 'in', '1989', '.', ""''""], ['For', 'a', 'second', 'year', ',', 'police', 'banned', 'the', 'vigil', ',', 'citing', 'COVID-19', '.'], ['``', 'SBS.COM.AU', 'Hong', 'Kong', 'police', 'cordon', 'off', 'annual', 'Tiananmen', 'vigil', 'site', 'and', 'arrest', 'organiser', 'on', 'anniversary', 'Thousands', 'of', 'officers', 'are', 'expected', 'to', 'patrol', 'the', 'citys', 'streets', 'on', 'Friday', 'to', 'prevent', 'gatherings', 'of', 'people', 'lighting', 'candles', 'for', 'the', 'pro-democracy', 'protesters', 'killed', 'by', 'Chinese', 'troops', 'in', 'Beijing', '32', 'years', 'ago', '.', ""''""]]"
